name,latent_path,latent_shape,dtype,original_pt_bytes,original_tensor_bytes,pt_metadata_overhead_bytes,pcodec_bytes,zstd_bytes,openzl_bytes,original_pt_mb,original_tensor_mb,pcodec_mb,zstd_mb,openzl_mb,pcodec_saved_vs_tensor_mb,pcodec_delta_vs_zstd_mb,pcodec_delta_vs_openzl_mb,ratio_tensor_to_pcodec,verified_lossless,original_tensor_sha256,restored_tensor_sha256
000_subject_consistency_r00_p003_a_person_eating_a_burger,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/000_subject_consistency_r00_p003_a_person_eating_a_burger.pt,"[48, 31, 44, 80]",float32,20953351,20951040,2311,17037039,19196455,19192452,20.953351,20.95104,17.037039,19.196455,19.192452,3.914001,-2.159416,-2.155413,1.229735,True,2bcc4cfac78044cb8ab97a62dab29a00eda5e14373e51bd49c0d68ed0d4edd49,2bcc4cfac78044cb8ab97a62dab29a00eda5e14373e51bd49c0d68ed0d4edd49
001_subject_consistency_r01_p014_a_car_accelerating_to_gain_speed,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/001_subject_consistency_r01_p014_a_car_accelerating_to_gain_speed.pt,"[48, 31, 44, 80]",float32,20953471,20951040,2431,16942656,19248919,19252123,20.953471,20.95104,16.942656,19.248919,19.252123,4.008384,-2.306263,-2.309467,1.236585,True,e6d2af2cba30644d39905474099a8f7e7ae01f8e3e5715563abb5d6bb9e46811,e6d2af2cba30644d39905474099a8f7e7ae01f8e3e5715563abb5d6bb9e46811
002_subject_consistency_r02_p031_a_truck_anchored_in_a_tranquil_bay,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/002_subject_consistency_r02_p031_a_truck_anchored_in_a_tranquil_bay.pt,"[48, 31, 44, 80]",float32,20953613,20951040,2573,16348334,18946847,18984823,20.953613,20.95104,16.348334,18.946847,18.984823,4.602706,-2.598513,-2.636489,1.28154,True,6212ebfc6c99b66706ddfd8929ce72a9707ea0c227da4a23c5051ac8c6d68f11,6212ebfc6c99b66706ddfd8929ce72a9707ea0c227da4a23c5051ac8c6d68f11
003_subject_consistency_r03_p035_a_boat_sailing_smoothly_on_a_calm_lake,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/003_subject_consistency_r03_p035_a_boat_sailing_smoothly_on_a_calm_lake.pt,"[48, 31, 44, 80]",float32,20953705,20951040,2665,16538767,19056187,19080351,20.953705,20.95104,16.538767,19.056187,19.080351,4.412273,-2.51742,-2.541584,1.266784,True,c074e81405a94ec8e6f8867f7f4590f407efb665ceff35ccc7115728ec16fa8f,c074e81405a94ec8e6f8867f7f4590f407efb665ceff35ccc7115728ec16fa8f
004_background_consistency_r00_p013_bridge,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/004_background_consistency_r00_p013_bridge.pt,"[48, 31, 44, 80]",float32,20953118,20951040,2078,16560867,19015279,19046269,20.953118,20.95104,16.560867,19.015279,19.046269,4.390173,-2.454412,-2.485402,1.265093,True,7af4118359709a7b31a0b96612e8da32316ef87574b6f9cffa4d2371a49704a0,7af4118359709a7b31a0b96612e8da32316ef87574b6f9cffa4d2371a49704a0
005_background_consistency_r01_p017_campus,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/005_background_consistency_r01_p017_campus.pt,"[48, 31, 44, 80]",float32,20953118,20951040,2078,16832740,19133089,19156024,20.953118,20.95104,16.83274,19.133089,19.156024,4.1183,-2.300349,-2.323284,1.24466,True,232bced8d4d6371ba4103803ae7e4c870cdd90ec6fc336c58a43ee6a97b8ab33,232bced8d4d6371ba4103803ae7e4c870cdd90ec6fc336c58a43ee6a97b8ab33
006_background_consistency_r02_p028_downtown,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/006_background_consistency_r02_p028_downtown.pt,"[48, 31, 44, 80]",float32,20953132,20951040,2092,17056508,19140739,19151372,20.953132,20.95104,17.056508,19.140739,19.151372,3.894532,-2.084231,-2.094864,1.228331,True,75a90b19446296c9544b5526b791057a48dbdf8f4e0a1661ab4b927d148f04d0,75a90b19446296c9544b5526b791057a48dbdf8f4e0a1661ab4b927d148f04d0
007_background_consistency_r03_p069_ski_slope,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/007_background_consistency_r03_p069_ski_slope.pt,"[48, 31, 44, 80]",float32,20953139,20951040,2099,16652053,19069130,19097315,20.953139,20.95104,16.652053,19.06913,19.097315,4.298987,-2.417077,-2.445262,1.258166,True,42bba9a0caa672ab5940c75ff4005e5823b97a1be55ac0eb63159ec449d7ae96,42bba9a0caa672ab5940c75ff4005e5823b97a1be55ac0eb63159ec449d7ae96
008_temporal_flickering_r00_p003_a_tranquil_tableau_of_alley,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/008_temporal_flickering_r00_p003_a_tranquil_tableau_of_alley.pt,"[48, 31, 44, 80]",float32,20953436,20951040,2396,17000130,19095790,19106864,20.953436,20.95104,17.00013,19.09579,19.106864,3.95091,-2.09566,-2.106734,1.232405,True,991f11b3f50c5dc1f43576676f7f2bc6125e6f3c4aa9a7e17c6c1f00fd8c585d,991f11b3f50c5dc1f43576676f7f2bc6125e6f3c4aa9a7e17c6c1f00fd8c585d
009_temporal_flickering_r01_p004_a_tranquil_tableau_of_bar,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/009_temporal_flickering_r01_p004_a_tranquil_tableau_of_bar.pt,"[48, 31, 44, 80]",float32,20953358,20951040,2318,17035004,19138380,19144557,20.953358,20.95104,17.035004,19.13838,19.144557,3.916036,-2.103376,-2.109553,1.229882,True,e1eabce9cefc6e0a1718c5fdd036732657eb2862a4e3ddfcd47ade4e4b08c9a8,e1eabce9cefc6e0a1718c5fdd036732657eb2862a4e3ddfcd47ade4e4b08c9a8
010_temporal_flickering_r02_p011_a_tranquil_tableau_of_house,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/010_temporal_flickering_r02_p011_a_tranquil_tableau_of_house.pt,"[48, 31, 44, 80]",float32,20953436,20951040,2396,16808801,19074892,19095883,20.953436,20.95104,16.808801,19.074892,19.095883,4.142239,-2.266091,-2.287082,1.246433,True,b5f8b6e6808333f4875fbb4ce89a961a0d58a28eb33754ff943adab6ac5fcb62,b5f8b6e6808333f4875fbb4ce89a961a0d58a28eb33754ff943adab6ac5fcb62
011_temporal_flickering_r03_p054_a_tranquil_tableau_of_in_the_heart_of_plaka_the_neoclassical_architecture_of_the,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/011_temporal_flickering_r03_p054_a_tranquil_tableau_of_in_the_heart_of_plaka_the_neoclassical_architecture_of_the.pt,"[48, 31, 44, 80]",float32,20954191,20951040,3151,16866316,19074794,19090601,20.954191,20.95104,16.866316,19.074794,19.090601,4.084724,-2.208478,-2.224285,1.242182,True,3ba63b789af76a60c2e3eae3e69fbc3a71630ebd5783e89d16b5779d6fbf1bea,3ba63b789af76a60c2e3eae3e69fbc3a71630ebd5783e89d16b5779d6fbf1bea
012_motion_smoothness_r00_p011_a_car_stuck_in_traffic_during_rush_hour,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/012_motion_smoothness_r00_p011_a_car_stuck_in_traffic_during_rush_hour.pt,"[48, 31, 44, 80]",float32,20953634,20951040,2594,16912936,19205602,19207137,20.953634,20.95104,16.912936,19.205602,19.207137,4.038104,-2.292666,-2.294201,1.238758,True,02098c2fd077ad4aa2474f67563c368e7dccbefbd2da3c9a45536bf80ab996ad,02098c2fd077ad4aa2474f67563c368e7dccbefbd2da3c9a45536bf80ab996ad
013_motion_smoothness_r01_p027_a_train_speeding_down_the_tracks,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/013_motion_smoothness_r01_p027_a_train_speeding_down_the_tracks.pt,"[48, 31, 44, 80]",float32,20953457,20951040,2417,16963467,19229296,19239311,20.953457,20.95104,16.963467,19.229296,19.239311,3.987573,-2.265829,-2.275844,1.235068,True,cb0469a5477be38c1da4c0e0ba20e5554510196251cf238b44b9588a37e62b58,cb0469a5477be38c1da4c0e0ba20e5554510196251cf238b44b9588a37e62b58
014_motion_smoothness_r02_p029_a_train_accelerating_to_gain_speed,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/014_motion_smoothness_r02_p029_a_train_accelerating_to_gain_speed.pt,"[48, 31, 44, 80]",float32,20953471,20951040,2431,16849134,19272225,19270374,20.953471,20.95104,16.849134,19.272225,19.270374,4.101906,-2.423091,-2.42124,1.243449,True,7becd89d8054b12df4341814756b2a89bd6b265a948f6d0749e7c23318af8d76,7becd89d8054b12df4341814756b2a89bd6b265a948f6d0749e7c23318af8d76
015_motion_smoothness_r03_p064_a_bear_climbing_a_tree,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/015_motion_smoothness_r03_p064_a_bear_climbing_a_tree.pt,"[48, 31, 44, 80]",float32,20953195,20951040,2155,17402995,19249323,19245059,20.953195,20.95104,17.402995,19.249323,19.245059,3.548045,-1.846328,-1.842064,1.203876,True,39ebe4bb6dc36393ef714af6b16a352d51ef43f9683f95a93ebd57e044186e41,39ebe4bb6dc36393ef714af6b16a352d51ef43f9683f95a93ebd57e044186e41
016_dynamic_degree_r00_p003_a_person_eating_a_burger,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/016_dynamic_degree_r00_p003_a_person_eating_a_burger.pt,"[48, 31, 44, 80]",float32,20953188,20951040,2148,17037039,19195698,19192351,20.953188,20.95104,17.037039,19.195698,19.192351,3.914001,-2.158659,-2.155312,1.229735,True,2bcc4cfac78044cb8ab97a62dab29a00eda5e14373e51bd49c0d68ed0d4edd49,2bcc4cfac78044cb8ab97a62dab29a00eda5e14373e51bd49c0d68ed0d4edd49
017_dynamic_degree_r01_p025_a_bus_stuck_in_traffic_during_rush_hour,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/017_dynamic_degree_r01_p025_a_bus_stuck_in_traffic_during_rush_hour.pt,"[48, 31, 44, 80]",float32,20953613,20951040,2573,17042109,19219874,19223248,20.953613,20.95104,17.042109,19.219874,19.223248,3.908931,-2.177765,-2.181139,1.229369,True,401e634a69391c2390d233488fe5c91146ec4d4a6e494fde2c7dbd2313282d45,401e634a69391c2390d233488fe5c91146ec4d4a6e494fde2c7dbd2313282d45
018_dynamic_degree_r02_p069_a_giraffe_bending_down_to_drink_water_from_a_river,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/018_dynamic_degree_r02_p069_a_giraffe_bending_down_to_drink_water_from_a_river.pt,"[48, 31, 44, 80]",float32,20953754,20951040,2714,17196082,19163242,19182935,20.953754,20.95104,17.196082,19.163242,19.182935,3.754958,-1.96716,-1.986853,1.218361,True,47c9d2bda5111aadfefef81a40a0d4c82fac56e9ceb5e3f8fbd2635e6dbdef44,47c9d2bda5111aadfefef81a40a0d4c82fac56e9ceb5e3f8fbd2635e6dbdef44
019_dynamic_degree_r03_p071_a_giraffe_running_to_join_a_herd_of_its_kind,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/019_dynamic_degree_r03_p071_a_giraffe_running_to_join_a_herd_of_its_kind.pt,"[48, 31, 44, 80]",float32,20953712,20951040,2672,16727583,19037801,19074254,20.953712,20.95104,16.727583,19.037801,19.074254,4.223457,-2.310218,-2.346671,1.252485,True,5c5b52b26714313c915b11820bd88dd281b4ee0e84ed9ee0822986ebc823445b,5c5b52b26714313c915b11820bd88dd281b4ee0e84ed9ee0822986ebc823445b
020_aesthetic_quality_r00_p028_origami_dancers_in_white_paper_3d_render_on_white_background_studio_shot_dancing,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/020_aesthetic_quality_r00_p028_origami_dancers_in_white_paper_3d_render_on_white_background_studio_shot_dancing.pt,"[48, 31, 44, 80]",float32,20954177,20951040,3137,16976261,19002682,19003820,20.954177,20.95104,16.976261,19.002682,19.00382,3.974779,-2.026421,-2.027559,1.234137,True,227d9feb1c928c055c7ebdd402562cbf8bdddf04135faa7a0943a848006b2b79,227d9feb1c928c055c7ebdd402562cbf8bdddf04135faa7a0943a848006b2b79
021_aesthetic_quality_r01_p053_a_jellyfish_floating_through_the_ocean_with_bioluminescent_tentacles,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/021_aesthetic_quality_r01_p053_a_jellyfish_floating_through_the_ocean_with_bioluminescent_tentacles.pt,"[48, 31, 44, 80]",float32,20954029,20951040,2989,16544369,18648128,18675305,20.954029,20.95104,16.544369,18.648128,18.675305,4.406671,-2.103759,-2.130936,1.266355,True,175c5ae3a7e2bf530641ba07a27b8dfbd8d7853c14e202c524b0d2c399f35166,175c5ae3a7e2bf530641ba07a27b8dfbd8d7853c14e202c524b0d2c399f35166
022_aesthetic_quality_r02_p057_a_steam_train_moving_on_a_mountainside,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/022_aesthetic_quality_r02_p057_a_steam_train_moving_on_a_mountainside.pt,"[48, 31, 44, 80]",float32,20953627,20951040,2587,16913273,19220958,19231604,20.953627,20.95104,16.913273,19.220958,19.231604,4.037767,-2.307685,-2.318331,1.238734,True,04f7fac2dec95e7722c5e8d21887cd55029c6fb1b663d7404ac71401d38fd056,04f7fac2dec95e7722c5e8d21887cd55029c6fb1b663d7404ac71401d38fd056
023_aesthetic_quality_r03_p075_a_happy_fuzzy_panda_playing_guitar_nearby_a_campfire_snow_mountain_in_the_backgr,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/023_aesthetic_quality_r03_p075_a_happy_fuzzy_panda_playing_guitar_nearby_a_campfire_snow_mountain_in_the_backgr.pt,"[48, 31, 44, 80]",float32,20954113,20951040,3073,17159358,19270686,19268386,20.954113,20.95104,17.159358,19.270686,19.268386,3.791682,-2.111328,-2.109028,1.220969,True,430b199136533ef0224a62ed0702829bde3a092447e64a525de4d4c6c6d69f89,430b199136533ef0224a62ed0702829bde3a092447e64a525de4d4c6c6d69f89
024_imaging_quality_r00_p000_close_up_of_grapes_on_a_rotating_table,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/024_imaging_quality_r00_p000_close_up_of_grapes_on_a_rotating_table.pt,"[48, 31, 44, 80]",float32,20953613,20951040,2573,17116759,19273631,19271063,20.953613,20.95104,17.116759,19.273631,19.271063,3.834281,-2.156872,-2.154304,1.224007,True,d6c6de0a54967dd99a9615bd3be12e71e31802e4e2d272adca25487342afb999,d6c6de0a54967dd99a9615bd3be12e71e31802e4e2d272adca25487342afb999
025_imaging_quality_r01_p020_a_shark_is_swimming_in_the_ocean,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/025_imaging_quality_r01_p020_a_shark_is_swimming_in_the_ocean.pt,"[48, 31, 44, 80]",float32,20953443,20951040,2403,16211276,18629673,18634337,20.953443,20.95104,16.211276,18.629673,18.634337,4.739764,-2.418397,-2.423061,1.292375,True,2458b2cd7bcfc7303de5ef336467644244db5794fd828a71ed4d482f8e5263fd,2458b2cd7bcfc7303de5ef336467644244db5794fd828a71ed4d482f8e5263fd
026_imaging_quality_r02_p035_busy_freeway_at_night,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/026_imaging_quality_r02_p035_busy_freeway_at_night.pt,"[48, 31, 44, 80]",float32,20953174,20951040,2134,16327560,18933355,18959889,20.953174,20.95104,16.32756,18.933355,18.959889,4.62348,-2.605795,-2.632329,1.28317,True,2d329cd6593e0adcfb1b3924c4de0682edde20d462051e2cc2e37152571197dc,2d329cd6593e0adcfb1b3924c4de0682edde20d462051e2cc2e37152571197dc
027_imaging_quality_r03_p089_hyper_realistic_spaceship_landing_on_mars,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/027_imaging_quality_r03_p089_hyper_realistic_spaceship_landing_on_mars.pt,"[48, 31, 44, 80]",float32,20953634,20951040,2594,17041338,19149625,19148420,20.953634,20.95104,17.041338,19.149625,19.14842,3.909702,-2.108287,-2.107082,1.229425,True,9074f3bb68a99b1398dd44af1effb1cd428bb70275629fa9b79cbdf5a9f8fa7d,9074f3bb68a99b1398dd44af1effb1cd428bb70275629fa9b79cbdf5a9f8fa7d
028_object_class_r00_p019_a_cow,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/028_object_class_r00_p019_a_cow.pt,"[48, 31, 44, 80]",float32,20953041,20951040,2001,16967301,19167705,19179334,20.953041,20.95104,16.967301,19.167705,19.179334,3.983739,-2.200404,-2.212033,1.234789,True,bb000eee07d37ad2b3750cce559f83b7794d28ddee6a87cce96acc668f92d9af,bb000eee07d37ad2b3750cce559f83b7794d28ddee6a87cce96acc668f92d9af
029_object_class_r01_p035_a_baseball_glove,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/029_object_class_r01_p035_a_baseball_glove.pt,"[48, 31, 44, 80]",float32,20953118,20951040,2078,17035784,19239508,19239840,20.953118,20.95104,17.035784,19.239508,19.23984,3.915256,-2.203724,-2.204056,1.229825,True,49e454032f829829dccb41cc6cb3ab9cfd53a8d3150b48afba2944787df5ab46,49e454032f829829dccb41cc6cb3ab9cfd53a8d3150b48afba2944787df5ab46
030_object_class_r02_p043_a_knife,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/030_object_class_r02_p043_a_knife.pt,"[48, 31, 44, 80]",float32,20953055,20951040,2015,17398196,19229142,19227965,20.953055,20.95104,17.398196,19.229142,19.227965,3.552844,-1.830946,-1.829769,1.204208,True,b207765a3936a69ebedeb3fa62067498697357caa7fd2804855327be4dc39244,b207765a3936a69ebedeb3fa62067498697357caa7fd2804855327be4dc39244
