name,latent_path,latent_shape,dtype,original_pt_bytes,original_tensor_bytes,pt_metadata_overhead_bytes,pcodec_bytes,zstd_bytes,openzl_bytes,original_pt_mb,original_tensor_mb,pcodec_mb,zstd_mb,openzl_mb,pcodec_saved_vs_tensor_mb,pcodec_delta_vs_zstd_mb,pcodec_delta_vs_openzl_mb,ratio_tensor_to_pcodec,verified_lossless,original_tensor_sha256,restored_tensor_sha256
031_object_class_r03_p054_a_donut,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/031_object_class_r03_p054_a_donut.pt,"[48, 31, 44, 80]",float32,20953055,20951040,2015,17168694,19186297,19192086,20.953055,20.95104,17.168694,19.186297,19.192086,3.782346,-2.017603,-2.023392,1.220305,True,b22f93ebfdd8a59b0f53fdad23bf8b81c4edaf548023520e4a154ac749fca266,b22f93ebfdd8a59b0f53fdad23bf8b81c4edaf548023520e4a154ac749fca266
032_multiple_objects_r00_p011_a_couch_and_a_potted_plant,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/032_multiple_objects_r00_p011_a_couch_and_a_potted_plant.pt,"[48, 31, 44, 80]",float32,20953344,20951040,2304,17307884,19229808,19229126,20.953344,20.95104,17.307884,19.229808,19.229126,3.643156,-1.921924,-1.921242,1.210491,True,bfa3edb7d8746b8a0986405106abc308f9890b30c12820d27550d436858369f2,bfa3edb7d8746b8a0986405106abc308f9890b30c12820d27550d436858369f2
033_multiple_objects_r01_p013_a_tv_and_a_laptop,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/033_multiple_objects_r01_p013_a_tv_and_a_laptop.pt,"[48, 31, 44, 80]",float32,20953153,20951040,2113,17135436,19221691,19219888,20.953153,20.95104,17.135436,19.221691,19.219888,3.815604,-2.086255,-2.084452,1.222673,True,ce8b69508f6dc99c94030fbfa662d5180af65893cb8a122faa669980da499de1,ce8b69508f6dc99c94030fbfa662d5180af65893cb8a122faa669980da499de1
034_multiple_objects_r02_p027_a_teddy_bear_and_a_frisbee,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/034_multiple_objects_r02_p027_a_teddy_bear_and_a_frisbee.pt,"[48, 31, 44, 80]",float32,20953344,20951040,2304,17085601,19207647,19212046,20.953344,20.95104,17.085601,19.207647,19.212046,3.865439,-2.122046,-2.126445,1.22624,True,1be1ce47c0cfe5ad042eb54cb6ea822d048a324921473d29cca5cbb05936e372,1be1ce47c0cfe5ad042eb54cb6ea822d048a324921473d29cca5cbb05936e372
035_multiple_objects_r03_p043_a_car_and_a_motorcycle,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/035_multiple_objects_r03_p043_a_car_and_a_motorcycle.pt,"[48, 31, 44, 80]",float32,20953188,20951040,2148,17063776,19241339,19243629,20.953188,20.95104,17.063776,19.241339,19.243629,3.887264,-2.177563,-2.179853,1.227808,True,cf2bcbd0f8d3e620cff01468eaf0c0508521c61d1014d411b05201aa9ed83f02,cf2bcbd0f8d3e620cff01468eaf0c0508521c61d1014d411b05201aa9ed83f02
036_human_action_r00_p012_a_person_is_skateboarding,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/036_human_action_r00_p012_a_person_is_skateboarding.pt,"[48, 31, 44, 80]",float32,20953181,20951040,2141,17033430,19237382,19242333,20.953181,20.95104,17.03343,19.237382,19.242333,3.91761,-2.203952,-2.208903,1.229995,True,09987163327a24024a4c0dac1d7fde896d8ed519b36ab006a2c8305c8278352f,09987163327a24024a4c0dac1d7fde896d8ed519b36ab006a2c8305c8278352f
037_human_action_r01_p044_a_person_is_planting_trees,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/037_human_action_r01_p044_a_person_is_planting_trees.pt,"[48, 31, 44, 80]",float32,20953188,20951040,2148,17269273,19236221,19234520,20.953188,20.95104,17.269273,19.236221,19.23452,3.681767,-1.966948,-1.965247,1.213198,True,55af7cf6e1b40ca2bf3c0236d1024b9cc071b089d51c0033ddc67f4ac4182c83,55af7cf6e1b40ca2bf3c0236d1024b9cc071b089d51c0033ddc67f4ac4182c83
038_human_action_r02_p045_a_person_is_sharpening_knives,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/038_human_action_r02_p045_a_person_is_sharpening_knives.pt,"[48, 31, 44, 80]",float32,20953337,20951040,2297,17266179,19314131,19308400,20.953337,20.95104,17.266179,19.314131,19.3084,3.684861,-2.047952,-2.042221,1.213415,True,1587879da248320a8508b8d23e3dd11c45dc512bbe35da132059c89a6cec953d,1587879da248320a8508b8d23e3dd11c45dc512bbe35da132059c89a6cec953d
039_human_action_r03_p048_a_person_is_hula_hooping,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/039_human_action_r03_p048_a_person_is_hula_hooping.pt,"[48, 31, 44, 80]",float32,20953174,20951040,2134,17127138,19223637,19231328,20.953174,20.95104,17.127138,19.223637,19.231328,3.823902,-2.096499,-2.10419,1.223266,True,bf1a776b1acd1b9cc3cc1568d51be7ee17ba3e20d553b8a05d0ca722dcf23b57,bf1a776b1acd1b9cc3cc1568d51be7ee17ba3e20d553b8a05d0ca722dcf23b57
040_color_r00_p005_a_purple_bicycle,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/040_color_r00_p005_a_purple_bicycle.pt,"[48, 31, 44, 80]",float32,20953069,20951040,2029,17172337,19240626,19242142,20.953069,20.95104,17.172337,19.240626,19.242142,3.778703,-2.068289,-2.069805,1.220046,True,8486d02791e8450252e9525bcff0a4673136c4b0a8282af9a302737550c3b597,8486d02791e8450252e9525bcff0a4673136c4b0a8282af9a302737550c3b597
041_color_r01_p033_a_blue_umbrella,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/041_color_r01_p033_a_blue_umbrella.pt,"[48, 31, 44, 80]",float32,20953062,20951040,2022,17056087,19139307,19157590,20.953062,20.95104,17.056087,19.139307,19.15759,3.894953,-2.08322,-2.101503,1.228361,True,d85bd16e47c7247d99e5f4c12beca2ee52718fc6d9cb04d4b92469f54bd23353,d85bd16e47c7247d99e5f4c12beca2ee52718fc6d9cb04d4b92469f54bd23353
042_color_r02_p058_a_red_chair,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/042_color_r02_p058_a_red_chair.pt,"[48, 31, 44, 80]",float32,20953034,20951040,1994,17194735,19248359,19246897,20.953034,20.95104,17.194735,19.248359,19.246897,3.756305,-2.053624,-2.052162,1.218457,True,0410d87721181b3332255b3ad706a9fc2cf15abd0797b3b7f6eedbc329e14095,0410d87721181b3332255b3ad706a9fc2cf15abd0797b3b7f6eedbc329e14095
043_color_r03_p077_a_green_vase,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/043_color_r03_p077_a_green_vase.pt,"[48, 31, 44, 80]",float32,20953041,20951040,2001,17270546,19143487,19147303,20.953041,20.95104,17.270546,19.143487,19.147303,3.680494,-1.872941,-1.876757,1.213108,True,081fd9caa6ccfb43a841fc965f2688a619f90202a01a6da696593c8b5e02a233,081fd9caa6ccfb43a841fc965f2688a619f90202a01a6da696593c8b5e02a233
044_spatial_relationship_r00_p010_a_bird_on_the_left_of_a_cat_front_view,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/044_spatial_relationship_r00_p010_a_bird_on_the_left_of_a_cat_front_view.pt,"[48, 31, 44, 80]",float32,20953712,20951040,2672,17349844,19229812,19231261,20.953712,20.95104,17.349844,19.229812,19.231261,3.601196,-1.879968,-1.881417,1.207564,True,e57a3c4be8a0daf32d432a0491d9e3ae4d483083dae5e7380e2c2012479cdb49,e57a3c4be8a0daf32d432a0491d9e3ae4d483083dae5e7380e2c2012479cdb49
045_spatial_relationship_r01_p015_a_cow_on_the_right_of_an_elephant_front_view,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/045_spatial_relationship_r01_p015_a_cow_on_the_right_of_an_elephant_front_view.pt,"[48, 31, 44, 80]",float32,20953754,20951040,2714,17205875,19207504,19206861,20.953754,20.95104,17.205875,19.207504,19.206861,3.745165,-2.001629,-2.000986,1.217668,True,b9d5dd39af0b0b276c5b939c683fd51461bd0f713192487ee688f9755491084f,b9d5dd39af0b0b276c5b939c683fd51461bd0f713192487ee688f9755491084f
046_spatial_relationship_r02_p048_a_train_on_the_right_of_a_boat_front_view,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/046_spatial_relationship_r02_p048_a_train_on_the_right_of_a_boat_front_view.pt,"[48, 31, 44, 80]",float32,20953733,20951040,2693,16917790,19203575,19214237,20.953733,20.95104,16.91779,19.203575,19.214237,4.03325,-2.285785,-2.296447,1.238403,True,6da65b22928c503dd7b9c1da6264720437518b151ccbef65c71e1c53670279c2,6da65b22928c503dd7b9c1da6264720437518b151ccbef65c71e1c53670279c2
047_spatial_relationship_r03_p068_a_pizza_on_the_top_of_a_donut_front_view,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/047_spatial_relationship_r03_p068_a_pizza_on_the_top_of_a_donut_front_view.pt,"[48, 31, 44, 80]",float32,20953726,20951040,2686,17183839,19157555,19154281,20.953726,20.95104,17.183839,19.157555,19.154281,3.767201,-1.973716,-1.970442,1.219229,True,85fd2eb12354100890106ba6ab6207a883d17a692cbf071691c550130a4c48db,85fd2eb12354100890106ba6ab6207a883d17a692cbf071691c550130a4c48db
048_scene_r00_p037_golf_course,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/048_scene_r00_p037_golf_course.pt,"[48, 31, 44, 80]",float32,20953034,20951040,1994,16568119,19049102,19080097,20.953034,20.95104,16.568119,19.049102,19.080097,4.382921,-2.480983,-2.511978,1.264539,True,bef2a1da4c9a2c2ff6965a2d6e8b9054ff6d42fc63dd1afaa20a827cb9db869e,bef2a1da4c9a2c2ff6965a2d6e8b9054ff6d42fc63dd1afaa20a827cb9db869e
049_scene_r01_p070_sky,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/049_scene_r01_p070_sky.pt,"[48, 31, 44, 80]",float32,20952978,20951040,1938,16377131,18947163,18983457,20.952978,20.95104,16.377131,18.947163,18.983457,4.573909,-2.570032,-2.606326,1.279286,True,569015fbc7b1b97929cb8fb805d09ac1b181cab02be343f42864ba5fadfc17d2,569015fbc7b1b97929cb8fb805d09ac1b181cab02be343f42864ba5fadfc17d2
050_scene_r02_p079_train_railway,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/050_scene_r02_p079_train_railway.pt,"[48, 31, 44, 80]",float32,20953048,20951040,2008,16913895,19175790,19190907,20.953048,20.95104,16.913895,19.17579,19.190907,4.037145,-2.261895,-2.277012,1.238688,True,ca75b851b64641838162b00314c516bd79501808558ac97d67671824ac8a25e6,ca75b851b64641838162b00314c516bd79501808558ac97d67671824ac8a25e6
051_scene_r03_p080_train_station_platform,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/051_scene_r03_p080_train_station_platform.pt,"[48, 31, 44, 80]",float32,20953111,20951040,2071,16948110,19156069,19167587,20.953111,20.95104,16.94811,19.156069,19.167587,4.00293,-2.207959,-2.219477,1.236187,True,1f51276fb014c05b5744f78b622e468b555980bbdec522e69b43816405676fb0,1f51276fb014c05b5744f78b622e468b555980bbdec522e69b43816405676fb0
052_temporal_style_r00_p024_a_shark_is_swimming_in_the_ocean_pan_right,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/052_temporal_style_r00_p024_a_shark_is_swimming_in_the_ocean_pan_right.pt,"[48, 31, 44, 80]",float32,20953634,20951040,2594,16435321,18674520,18717815,20.953634,20.95104,16.435321,18.67452,18.717815,4.515719,-2.239199,-2.282494,1.274757,True,c28b58180c3cfbaacbe73f378918618936bfb08ab015921ad022ce6c1c904034,c28b58180c3cfbaacbe73f378918618936bfb08ab015921ad022ce6c1c904034
053_temporal_style_r01_p046_a_cute_happy_corgi_playing_in_park_sunset_tilt_down,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/053_temporal_style_r01_p046_a_cute_happy_corgi_playing_in_park_sunset_tilt_down.pt,"[48, 31, 44, 80]",float32,20953761,20951040,2721,16990895,19165886,19185851,20.953761,20.95104,16.990895,19.165886,19.185851,3.960145,-2.174991,-2.194956,1.233075,True,59cd7de33f67e135540ac3dd1a769b026263ed091034f4f822b22d17d7c0d4f8,59cd7de33f67e135540ac3dd1a769b026263ed091034f4f822b22d17d7c0d4f8
054_temporal_style_r02_p073_a_couple_in_formal_evening_wear_going_home_get_caught_in_a_heavy_downpour_with_u,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/054_temporal_style_r02_p073_a_couple_in_formal_evening_wear_going_home_get_caught_in_a_heavy_downpour_with_u.pt,"[48, 31, 44, 80]",float32,20954092,20951040,3052,17280264,19139664,19143834,20.954092,20.95104,17.280264,19.139664,19.143834,3.670776,-1.8594,-1.86357,1.212426,True,97019a86cdac9fe3bda9f46658b21919bfec6af65837bfa4ae77c6675d21f0c1,97019a86cdac9fe3bda9f46658b21919bfec6af65837bfa4ae77c6675d21f0c1
055_temporal_style_r03_p090_snow_rocky_mountains_peaks_canyon_snow_blanketed_rocky_mountains_surround_and_sh,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/055_temporal_style_r03_p090_snow_rocky_mountains_peaks_canyon_snow_blanketed_rocky_mountains_surround_and_sh.pt,"[48, 31, 44, 80]",float32,20954220,20951040,3180,16977897,19086813,19097279,20.95422,20.95104,16.977897,19.086813,19.097279,3.973143,-2.108916,-2.119382,1.234019,True,a2e8f78ee104d1efccf50f7334c66deaa962f09f774f7f53d3401a4b4e73892b,a2e8f78ee104d1efccf50f7334c66deaa962f09f774f7f53d3401a4b4e73892b
056_appearance_style_r00_p005_a_beautiful_coastal_beach_in_spring_waves_lapping_on_sand_in_cyberpunk_style,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/056_appearance_style_r00_p005_a_beautiful_coastal_beach_in_spring_waves_lapping_on_sand_in_cyberpunk_style.pt,"[48, 31, 44, 80]",float32,20954078,20951040,3038,16818661,19075789,19089971,20.954078,20.95104,16.818661,19.075789,19.089971,4.132379,-2.257128,-2.27131,1.245702,True,d78674a1ab3a398fd6dfa7bbda5992ef8efcdccb26595666feb5890dd82ff03b,d78674a1ab3a398fd6dfa7bbda5992ef8efcdccb26595666feb5890dd82ff03b
057_appearance_style_r01_p008_a_beautiful_coastal_beach_in_spring_waves_lapping_on_sand_surrealism_style,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/057_appearance_style_r01_p008_a_beautiful_coastal_beach_in_spring_waves_lapping_on_sand_surrealism_style.pt,"[48, 31, 44, 80]",float32,20954064,20951040,3024,16615434,18965461,18985347,20.954064,20.95104,16.615434,18.965461,18.985347,4.335606,-2.350027,-2.369913,1.260938,True,c47b8adf19c1c72e8a35ffa5fde431793ad3cec5077025c157186e090bae15c1,c47b8adf19c1c72e8a35ffa5fde431793ad3cec5077025c157186e090bae15c1
058_appearance_style_r02_p029_a_panda_drinking_coffee_in_a_cafe_in_paris_by_hokusai_in_the_style_of_ukiyo,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/058_appearance_style_r02_p029_a_panda_drinking_coffee_in_a_cafe_in_paris_by_hokusai_in_the_style_of_ukiyo.pt,"[48, 31, 44, 80]",float32,20954071,20951040,3031,17093049,19208306,19211916,20.954071,20.95104,17.093049,19.208306,19.211916,3.857991,-2.115257,-2.118867,1.225705,True,2daf0cef397fdbcd9e43d516f0690664e30d45e45ced927bd93e8e66c2f5355a,2daf0cef397fdbcd9e43d516f0690664e30d45e45ced927bd93e8e66c2f5355a
059_appearance_style_r03_p084_snow_rocky_mountains_peaks_canyon_snow_blanketed_rocky_mountains_surround_and_sh,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/059_appearance_style_r03_p084_snow_rocky_mountains_peaks_canyon_snow_blanketed_rocky_mountains_surround_and_sh.pt,"[48, 31, 44, 80]",float32,20954234,20951040,3194,17015840,19091608,19091858,20.954234,20.95104,17.01584,19.091608,19.091858,3.9352,-2.075768,-2.076018,1.231267,True,3100c3d7ab6cfb18008fd33f5d36328cc7f90bffb55744dd6c7e388128baed7c,3100c3d7ab6cfb18008fd33f5d36328cc7f90bffb55744dd6c7e388128baed7c
060_overall_consistency_r00_p010_fireworks,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/060_overall_consistency_r00_p010_fireworks.pt,"[48, 31, 44, 80]",float32,20953118,20951040,2078,17135031,19052537,19063622,20.953118,20.95104,17.135031,19.052537,19.063622,3.816009,-1.917506,-1.928591,1.222702,True,a222532d4b7eec21674584e356ef8bf39ad1a274d57fbfc132e7c9fff7015a5c,a222532d4b7eec21674584e356ef8bf39ad1a274d57fbfc132e7c9fff7015a5c
061_overall_consistency_r01_p012_flying_through_fantasy_landscapes,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/061_overall_consistency_r01_p012_flying_through_fantasy_landscapes.pt,"[48, 31, 44, 80]",float32,20953542,20951040,2502,16872999,19179482,19195843,20.953542,20.95104,16.872999,19.179482,19.195843,4.078041,-2.306483,-2.322844,1.24169,True,681e61b1678e6b8495ffc1456fadad4022f0244d96f8cc7492c95278b571be94,681e61b1678e6b8495ffc1456fadad4022f0244d96f8cc7492c95278b571be94
062_overall_consistency_r02_p029_campfire_at_night_in_a_snowy_forest_with_starry_sky_in_the_background,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/062_overall_consistency_r02_p029_campfire_at_night_in_a_snowy_forest_with_starry_sky_in_the_background.pt,"[48, 31, 44, 80]",float32,20954050,20951040,3010,16969327,19066068,19065240,20.95405,20.95104,16.969327,19.066068,19.06524,3.981713,-2.096741,-2.095913,1.234642,True,ae2a17b3453cce2ec3034ac15c584f25c270da159afde049106325be1ee873fb,ae2a17b3453cce2ec3034ac15c584f25c270da159afde049106325be1ee873fb
063_overall_consistency_r03_p037_an_astronaut_is_riding_a_horse_in_the_space_in_a_photorealistic_style,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/063_overall_consistency_r03_p037_an_astronaut_is_riding_a_horse_in_the_space_in_a_photorealistic_style.pt,"[48, 31, 44, 80]",float32,20954050,20951040,3010,16955933,18975043,18981833,20.95405,20.95104,16.955933,18.975043,18.981833,3.995107,-2.01911,-2.0259,1.235617,True,f1ded4fd7d41272d89f4b14782f6b7342850ab9b575d5384cbdaff7e954c2b5a,f1ded4fd7d41272d89f4b14782f6b7342850ab9b575d5384cbdaff7e954c2b5a
